Concept,SuperClass,DisjointClass,Requirement,Label,Definition,ISO 19111,IGN 2019,Proj4RDF,GeoSPARQL,PROJJSON,Core Class?
geosrs:RectangularPolyconicProjection,geosrs:PolyconicProjection,,Polyconic Projections,Rectangular Polyconic Projection,,,,geocrs:RectangularPolyconicProjection,,rpoly,Extension
geosrs:RetroazimuthalProjection,,,,Retroazimuthal Projection,,,,geocrs:RetroazimuthalProjection,,,Extension
geosrs:RobinsonProjection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Robinson Projection,,,,geocrs:RobinsonProjection,,robin,Extension
geosrs:RoussilheProjection,geosrs:StereographicProjection,,Stereographic Projections,Roussilhe Projection,,,,geocrs:RoussilheProjection,,,Extension
geosrs:SchjerningIProjection,geosrs:ConicalProjection,,Conical Projections,Schjerning I Projection,,,,geocrs:SchjerningIProjection,,,Extension
geosrs:SinusoidalProjection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Sinusoidal Projection,,,,geocrs:SinusoidalProjection,,sinu,Extension
geosrs:SmythEqualSurfaceProjection,geosrs:CylindricalEqualArea,,Equal Area Projections,Smyth Equal Surface Projection,,,,geocrs:SmythEqualSurfaceProjection,,,Extension
geosrs:SpaceObliqueMercatorProjection,,,,Space Oblique Mercator Projection,,,,geocrs:SpaceObliqueMercatorProjection,,,Extension
geosrs:SpilhausOceanicProjection,geosrs:CompromiseProjection,,Compromise Projections,Spilhaus Oceanic Projection,,,,geocrs:SpilhausOceanicProjection,,,Extension
geosrs:StabiusWernerIIIProjection,geosrs:PolyconicProjection,,Polyconic Projections,Stabius Werner III Projection,,,,geocrs:StabiusWernerIIIProjection,,,Extension
geosrs:StabiusWernerIIProjection,geosrs:BonneProjection,,Pseudo Conical Projections,Stabius Werner II Projection,,,,geocrs:StabiusWernerIIProjection,,,Extension
geosrs:StabiusWernerIProjection,geosrs:PolyconicProjection,,Polyconic Projections,Stabius Werner I Projection,,,,geocrs:StabiusWernerIProjection,,,Extension
geosrs:StereographicProjection,geosrs:ConformalProjection,,Conformal Projections,Stereographic Projection,,,,geocrs:StereographicProjection,,stere,Extension
geosrs:Strebe1995Projection,geosrs:PseudoAzimuthalProjection,,Pseudo Azimuthal Projections,Strebe 1995 Projection,,,,geocrs:Strebe1995Projection,,,Extension
geosrs:TheTimesProjection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,The Times Projection,,,,geocrs:TheTimesProjection,,,Extension
geosrs:TiltedPerspectiveProjection,geosrs:PerspectiveProjection,,Perspective Projections,Tilted Perspective Projection,,,,geocrs:TiltedPerspectiveProjection,,,Extension
geosrs:ToblerCylindricalIIProjection,geosrs:CylindricalProjection,,Cylindrical Projections,Tobler Cylindrical III Projection,,,,geocrs:ToblerCylindricalIIProjection,,,Extension
geosrs:ToblerCylindricalIProjection,geosrs:CylindricalProjection,,Cylindrical Projections,Tobler Cylindrical II Projection,,,,geocrs:ToblerCylindricalIProjection,,,Extension
geosrs:ToblerG1Projection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Tobler G1 Projection,,,,geocrs:ToblerG1Projection,,,Extension
geosrs:ToblerHyperellipticalProjection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Tobler Hyperelliptical Projection,,,,geocrs:ToblerHyperellipticalProjection,,,Extension
geosrs:ToblerWorldInASquareProjection,geosrs:CylindricalEqualArea,,Equal Area Projections,Tobler World In A Square Projection,,,,geocrs:ToblerWorldInASquareProjection,,,Extension
geosrs:TransverseCylindricalEqualAreaProjection,geosrs:CylindricalEqualArea,,Equal Area Projections,Transverse Cylindrical Equal Area Projection,,,,geocrs:TransverseCylindricalEqualAreaProjection,,,Extension
geosrs:TransverseMercatorProjection,geosrs:MercatorProjection,,Cylindrical Projections,Transverse Mercator Projection,,,,geocrs:TransverseMercatorProjection,,tmerc,Extension
geosrs:TrystanEdwardsProjection,geosrs:EqualAreaProjection,,Equal Area Projections,Trystan Edwards Projection,,,,geocrs:TrystanEdwardsProjection,,,Extension
geosrs:TwoPointEquidistantProjection,geosrs:EquidistantProjection,,Equidistant Projections,Two Point Equidistant Projection,,,,geocrs:TwoPointEquidistantProjection,,,Extension
geosrs:UniversalTransverseMercatorProjection,geosrs:TransverseMercatorProjection,,,Universal Transverse Mercator Projection,,,,geocrs:UniversalTransverseMercatorProjection,,utm,Extension
geosrs:UrmayevIIIProjection,geosrs:CylindricalProjection,,Cylindrical Projections,Urmayev III Projection,,,,geocrs:UrmayevIIIProjection,,,Extension
geosrs:VanDerGrintenIIIProjection,geosrs:CompromiseProjection,,Compromise Projections,Van Der Grinten III Projection,,,,geocrs:VanDerGrintenIIIProjection,,,Extension
geosrs:VanDerGrintenIIProjection,geosrs:PolyconicProjection,,Polyconic Projections,Van Der Grinten II Projection,,,,geocrs:VanDerGrintenIIProjection,,,Extension
geosrs:VanDerGrintenIProjection,geosrs:PolyconicProjection,,Polyconic Projections,Van Der Grinten I Projection,,,,geocrs:VanDerGrintenIProjection,,,Extension
geosrs:VanDerGrintenIVProjection,geosrs:PolyconicProjection,,Polyconic Projections,Van Der Grinten IV Projection,,,,geocrs:VanDerGrintenIVProjection,,,Extension
geosrs:VerticalPerspectiveProjection,geosrs:PerspectiveProjection,,Perspective Projections,Vertical Perspective Projection,,,,geocrs:VerticalPerspectiveProjection,,,Extension
geosrs:VitkovskyIProjection,geosrs:ConicalProjection,,Conical Projections,Vitkovsky I Projection,,,,geocrs:VitkovskyIProjection,,,Extension
geosrs:WagnerIIIProjection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Wagner III Projection,,,,geocrs:WagnerIIIProjection,,,Extension
geosrs:WagnerIIProjection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Wagner II Projection,,,,geocrs:WagnerIIProjection,,,Extension
geosrs:WagnerIProjection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Wagner I Projection,,,,geocrs:WagnerIProjection,,,Extension
geosrs:WagnerIVProjection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Wagner IV Projection,,,,geocrs:WagnerIVProjection,,,Extension
geosrs:WagnerIXProjection,geosrs:PolyconicProjection,,Polyconic Projections,Wagner IX Projection,,,,geocrs:WagnerIXProjection,,,Extension
geosrs:WagnerVIIIProjection,geosrs:PolyconicProjection,,Polyconic Projections,Wagner VIII Projection,,,,geocrs:WagnerVIIIProjection,,,Extension
geosrs:WagnerVIIProjection,geosrs:PolyconicProjection,,Polyconic Projections,Wagner VII Projection,,,,geocrs:WagnerVIIProjection,,,Extension
geosrs:WagnerVIProjection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Wagner VI Projection,,,,geocrs:WagnerVIProjection,,,Extension
geosrs:WagnerVProjection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Wagner V Projection,,,,geocrs:WagnerVProjection,,,Extension
geosrs:WatermanButterflyProjection,geosrs:PolyhedralProjection,,Polyhedral Projections,Waterman Butterfly Projection,,,,geocrs:WatermanButterflyProjection,,,Extension
geosrs:WebMercatorProjection,geosrs:CylindricalProjection,,Cylindrical Projections,Web Mercator Projection,,,,geocrs:WebMercatorProjection,,,Extension
geosrs:WerenskioldIProjection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,Werenskiold I Projection,,,,geocrs:WerenskioldIProjection,,,Extension
geosrs:WernerProjection,geosrs:PseudoConicalProjection,,Pseudo Conical Projections,Werner Projection,,,,geocrs:WernerProjection,,,Extension
geosrs:WiechelProjection,geosrs:EqualAreaProjection,,Equal Area Projections,Wiechel Projection,,,,geocrs:WiechelProjection,,,Extension
geosrs:WinkelIIProjection,geosrs:CompromiseProjection,,Compromise Projections,Winkel II Projection,,,,geocrs:WinkelIIProjection,,,Extension
geosrs:WinkelIProjection,geosrs:CompromiseProjection,,Compromise Projections,Winkel I Projection,,,,geocrs:WinkelIProjection,,,Extension
geosrs:WinkelSnyderProjection,geosrs:CompromiseProjection,,Compromise Projections,Winkel Snyder Projection,,,,geocrs:WinkelSnyderProjection,,,Extension
geosrs:WinkelTripelProjection,geosrs:PseudoAzimuthalProjection,,Pseudo Azimuthal Projections,Winkel Tripel Projection,,,,geocrs:WinkelTripelProjection,,,Extension
geosrs:PutninsP3'Projection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,PutninsP3'Projection,,,,geocrs:ProjectionOntology#PutninsP3'Projection,,,Extension
geosrs:PutninsP4'Projection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,PutninsP4'Projection,,,,geocrs:ProjectionOntology#PutninsP4'Projection,,,Extension
geosrs:PutninsP5'Projection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,PutninsP5'Projection,,,,geocrs:ProjectionOntology#PutninsP5'Projection,,,Extension
geosrs:PutninsP6'Projection,geosrs:PseudoCylindricalProjection,,Pseudo Cylindrical Projections,PutninsP6'Projection,,,,geocrs:ProjectionOntology#PutninsP6'Projection,,,Extension
geosrs:MollweideWagnerProjection,,,,Mollweide Wagner Projection,,,,geocrs:MollweideWagnerProjection,,,Extension
